model,background,color,smaller,partial_view,pattern,pose,shape,subcategory,texture,worst_factor,average,val_acc
*benchmark,0.8039087947882736,0.7628676470588235,0.628140703517588,0.8253968253968254,0.8052325581395349,0.8773987206823027,0.45454545454545453,0.34615384615384615,0.6666666666666666,0.34615384615384615,0.8158233276157805,0.8264
*moco,0.790228013029316,0.75,0.6231155778894473,0.7777777777777778,0.7819767441860465,0.847547974413646,0.5454545454545454,0.6153846153846154,0.6190476190476191,0.5454545454545454,0.7969554030874786,0.8078
mixed_patches_4_32,0.7035830618892508,0.6066176470588235,0.4472361809045226,0.746031746031746,0.7034883720930233,0.7739872068230277,0.4090909090909091,0.5,0.42857142857142855,0.4090909090909091,0.7054030874785592,0.721
mixed_patches_4_56,0.6931596091205212,0.6121323529411765,0.47738693467336685,0.7619047619047619,0.6773255813953488,0.7846481876332623,0.45454545454545453,0.38461538461538464,0.5238095238095238,0.38461538461538464,0.7066895368782161,0.7224
patch32_ratio60,0.7094462540716613,0.5955882352941176,0.4723618090452261,0.7301587301587301,0.7005813953488372,0.7974413646055437,0.36363636363636365,0.5,0.47619047619047616,0.36363636363636365,0.7167667238421955,0.7306
patch32_ratio80,0.6814332247557003,0.6047794117647058,0.4824120603015075,0.7142857142857143,0.6627906976744186,0.7830490405117271,0.45454545454545453,0.5384615384615384,0.5238095238095238,0.45454545454545453,0.7004716981132075,0.7154
patch4_ratio60,0.6749185667752443,0.5772058823529411,0.44221105527638194,0.6349206349206349,0.6627906976744186,0.7681236673773987,0.2727272727272727,0.46153846153846156,0.38095238095238093,0.2727272727272727,0.6846054888507719,0.6996
patch4_ratio80,0.6912052117263844,0.6121323529411765,0.49748743718592964,0.6666666666666666,0.6831395348837209,0.7729211087420043,0.4090909090909091,0.34615384615384615,0.5238095238095238,0.34615384615384615,0.7013293310463122,0.716
patch56_ratio40,0.6996742671009772,0.6323529411764706,0.5125628140703518,0.6825396825396826,0.6918604651162791,0.7889125799573561,0.45454545454545453,0.5,0.42857142857142855,0.42857142857142855,0.7148370497427101,0.7306
patch56_ratio60,0.6977198697068404,0.6047794117647058,0.45226130653266333,0.7301587301587301,0.6918604651162791,0.7814498933901919,0.4090909090909091,0.5,0.5238095238095238,0.4090909090909091,0.7056174957118353,0.7206
